2019-05-25 09:52:45.714 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.WorkOrderTypeRepository.
2019-05-25 09:52:45.715 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.AgentReportRepository.
2019-05-25 09:52:45.715 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.CubeTypeRepository.
2019-05-25 09:52:45.716 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.IMGroupUserRepository.
2019-05-25 09:52:45.716 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.UKefuCallOutTaskRepository.
2019-05-25 09:52:45.716 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.es.TopicRepository.
2019-05-25 09:52:45.716 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.AreaTypeRepository.
2019-05-25 09:52:45.717 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.LeaveMsgRepository.
2019-05-25 09:52:45.717 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.OrganizationRepository.
2019-05-25 09:52:45.717 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.SaleStatusRepository.
2019-05-25 09:52:45.717 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.AgentUserContactsRepository.
2019-05-25 09:52:45.717 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.ReportRepository.
2019-05-25 09:52:45.718 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.es.KbsTopicRepository.
2019-05-25 09:52:45.718 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.SessionConfigRepository.
2019-05-25 09:52:45.718 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.AclRepository.
2019-05-25 09:52:45.718 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.AgentStatusRepository.
2019-05-25 09:52:45.719 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.ReporterRepository.
2019-05-25 09:52:45.719 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.KbsTypeRepository.
2019-05-25 09:52:45.719 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.AiConfigRepository.
2019-05-25 09:52:45.720 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.ColumnPropertiesRepository.
2019-05-25 09:52:45.720 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.TemplateRepository.
2019-05-25 09:52:45.720 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.InstructionRepository.
2019-05-25 09:52:45.721 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.IMGroupRepository.
